,Unnamed: 0,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Policy_Sales_Channel,Age_Bin,Vehicle_Damage_Age_Interaction
0,255531,1,46.0,1,0,0,152.0,0,0
1,27423,1,46.0,1,0,0,152.0,0,0
2,253915,1,46.0,1,1,1,26.0,2,2
3,167018,1,18.0,1,0,0,152.0,1,0
4,26965,1,11.0,0,1,1,122.0,2,2
5,71297,1,8.0,1,0,0,152.0,0,0
6,169896,1,8.0,1,1,0,122.0,1,0
7,137376,1,28.0,0,1,1,124.0,2,2
8,125518,1,41.0,0,0,1,152.0,1,1
9,219691,1,44.0,0,0,1,160.0,0,0
10,12312,1,47.0,0,1,1,157.0,2,2
11,60689,1,28.0,0,2,1,26.0,2,2
12,238084,1,8.0,0,1,1,25.0,2,2
13,234085,1,29.0,1,0,0,152.0,0,0
14,303432,1,41.0,0,0,1,152.0,0,0
15,307950,1,38.0,1,0,0,152.0,0,0
16,276992,1,47.0,1,0,0,152.0,0,0
17,362849,0,24.0,0,1,1,124.0,2,2
18,141160,1,0.0,0,1,1,122.0,2,2
19,35783,1,23.0,0,0,1,124.0,1,1
20,326580,1,10.0,1,0,0,152.0,0,0
21,241071,1,41.0,1,1,1,152.0,1,1
22,289982,1,28.0,1,1,0,26.0,2,0
23,23197,1,28.0,0,0,1,152.0,0,0
24,39189,1,8.0,1,1,0,124.0,2,0
25,298779,1,28.0,1,1,0,26.0,1,0
26,19899,1,28.0,0,1,0,156.0,1,0
27,10607,1,36.0,0,1,1,151.0,1,1
28,101656,1,46.0,0,1,1,26.0,2,2
29,174527,1,37.0,1,1,0,124.0,1,0
30,182295,1,20.0,0,1,1,124.0,2,2
31,61090,1,50.0,1,1,0,8.0,2,0
32,161117,1,15.0,0,2,1,124.0,2,2
33,30584,1,41.0,1,1,0,152.0,1,0
34,164834,1,28.0,1,1,0,26.0,1,0
35,28910,1,41.0,0,0,0,152.0,0,0
36,295669,1,46.0,0,1,1,26.0,2,2
37,109860,1,31.0,0,1,0,31.0,1,0
38,189976,1,46.0,1,0,0,152.0,0,0
39,165686,1,2.0,1,0,0,152.0,0,0
40,281170,1,11.0,1,0,0,152.0,0,0
41,69194,1,8.0,1,0,0,152.0,0,0
42,9610,1,28.0,0,1,1,124.0,2,2
43,341057,1,8.0,1,0,0,152.0,0,0
44,177687,1,28.0,0,0,1,154.0,1,1
45,268138,1,41.0,1,0,0,152.0,0,0
46,274487,1,35.0,0,0,1,152.0,0,0
47,202482,1,46.0,1,0,0,152.0,1,0
48,154484,1,28.0,1,0,1,152.0,0,0
49,42934,1,36.0,1,1,0,26.0,2,0
50,294818,1,28.0,0,1,1,124.0,2,2
51,216573,1,41.0,1,0,0,152.0,0,0
52,38802,1,28.0,0,1,1,26.0,2,2
53,60218,1,50.0,0,0,1,152.0,0,0
54,4691,1,29.0,1,1,0,135.0,2,0
55,89747,1,28.0,0,1,0,124.0,2,0
56,235329,1,30.0,1,0,0,152.0,1,0
57,243144,1,47.0,1,1,0,26.0,2,0
58,305164,1,28.0,1,1,0,26.0,2,0
59,328082,1,46.0,1,0,0,152.0,1,0
60,335579,1,8.0,0,1,1,124.0,1,1
61,11804,1,28.0,0,1,1,124.0,2,2
62,68237,1,28.0,0,2,1,26.0,2,2
63,169215,1,25.0,1,0,0,160.0,0,0
64,191615,1,8.0,1,1,0,124.0,2,0
65,119194,1,25.0,0,1,1,26.0,2,2
66,26219,1,8.0,1,1,0,124.0,1,0
67,209512,1,28.0,0,1,1,124.0,2,2
68,46005,1,15.0,1,0,0,152.0,1,0
69,315981,1,28.0,0,1,1,124.0,2,2
70,31962,1,50.0,0,0,0,151.0,0,0
71,216586,1,28.0,0,2,1,157.0,2,2
72,369841,1,6.0,1,0,0,152.0,0,0
73,238762,1,40.0,1,0,0,152.0,0,0
74,49637,1,28.0,1,1,0,152.0,1,0
75,362473,1,50.0,1,0,0,151.0,1,0
76,294260,1,28.0,1,0,0,152.0,0,0
77,42885,1,11.0,1,0,0,152.0,1,0
78,33517,1,37.0,1,0,0,152.0,1,0
79,270585,1,35.0,1,0,0,152.0,1,0
80,204608,1,28.0,0,2,1,157.0,2,2
81,321820,1,28.0,0,1,0,124.0,2,0
82,335350,1,30.0,0,1,1,26.0,2,2
83,131627,1,15.0,1,1,0,14.0,1,0
84,60570,1,29.0,0,1,0,156.0,0,0
85,43609,1,45.0,0,0,1,152.0,0,0
86,313886,1,8.0,0,0,1,152.0,0,0
87,241347,1,30.0,0,1,0,31.0,2,0
88,140013,1,28.0,0,1,1,26.0,2,2
89,284960,1,4.0,1,0,0,152.0,0,0
90,215977,1,46.0,1,0,0,152.0,0,0
91,93360,1,8.0,0,0,1,152.0,0,0
92,377060,1,28.0,0,0,1,26.0,1,1
93,229251,1,9.0,0,0,0,152.0,0,0
94,342519,1,17.0,1,1,0,152.0,1,0
95,282151,1,15.0,0,0,1,160.0,0,0
96,90218,1,8.0,0,1,1,26.0,2,2
97,54589,1,39.0,0,0,1,152.0,0,0
98,171266,1,28.0,0,1,0,124.0,1,0
99,260683,1,18.0,0,1,0,124.0,2,0
100,122882,1,28.0,0,1,1,26.0,2,2
101,379871,1,15.0,1,0,0,152.0,1,0
102,2344,1,15.0,0,0,0,152.0,0,0
103,177186,1,8.0,1,0,0,152.0,0,0
104,28325,1,28.0,1,1,0,26.0,2,0
105,169569,1,8.0,1,0,0,152.0,1,0
106,30047,1,20.0,1,0,0,152.0,1,0
107,61148,1,28.0,0,1,1,26.0,2,2
108,199776,1,48.0,1,1,0,124.0,2,0
109,43344,1,37.0,0,0,0,152.0,0,0
110,232098,1,28.0,0,1,1,158.0,2,2
111,776,1,35.0,0,1,0,89.0,2,0
112,102615,1,28.0,1,1,0,125.0,2,0
113,11070,1,13.0,0,0,1,152.0,0,0
114,113523,1,15.0,1,0,1,152.0,0,0
115,321672,1,31.0,0,0,1,152.0,0,0
116,156233,1,28.0,0,1,1,124.0,2,2
117,286375,1,30.0,0,0,1,124.0,1,1
118,347267,1,46.0,1,1,0,26.0,2,0
119,22963,1,28.0,1,1,0,124.0,1,0
120,51405,1,8.0,1,1,0,152.0,2,0
